id;bulletin_year;bulletin_nr;office;search_type;mailed_date;publn_auth;publn_nr;publn_kind;publn_date;publn_lg
14182831;2016;9;"EP";"NAT";9999-12-31;"EP";"2990644";"A1";2016-03-02;"de"
14185190;0;0;"EP";"SUP";2015-03-20;"  ";"";"  ";9999-12-31;"  "
11727670;2012;2;"EP";"ISR";9999-12-31;"WO";"2012004076";"A1";2012-01-12;"de"
11732937;0;0;"EP";"SUP";2013-11-25;"  ";"";"  ";9999-12-31;"  "
12773709;2012;43;"JP";"ISR";9999-12-31;"WO";"2012144474";"A1";2012-10-26;"ja"
12774986;2013;14;"EP";"ISR";9999-12-31;"WO";"2013045610";"A1";2013-04-04;"de"
9175685;2013;12;"EP";"NAT";9999-12-31;"EP";"2187046";"A3";2013-03-20;"en"
9178258;0;0;"EP";"SUP";2011-11-17;"  ";"";"  ";9999-12-31;"  "
11832841;2012;16;"SE";"ISR";9999-12-31;"WO";"2012050514";"A1";2012-04-19;"en"
11833628;0;0;"EP";"SUP";2016-12-20;"  ";"";"  ";9999-12-31;"  "
11400035;2012;51;"EP";"NAT";9999-12-31;"EP";"2535269";"A1";2012-12-19;"en"
11701277;2011;39;"EP";"ISR";9999-12-31;"WO";"2011117005";"A2";2011-09-29;"en"
96480127;1997;34;"EP";"NAT";9999-12-31;"EP";"0790211";"A1";1997-08-20;"fr"
96810231;0;0;"EP";"SUP";1996-07-23;"  ";"";"  ";9999-12-31;"  "
11729049;2012;1;"EP";"ISR";9999-12-31;"WO";"2012000504";"A1";2012-01-05;"en"
11730886;2012;1;"EP";"ISR";9999-12-31;"WO";"2012000513";"A2";2012-01-05;"en"
4077474;2005;21;"EP";"NAT";9999-12-31;"EP";"1533385";"A1";2005-05-25;"en"
8761574;0;0;"EP";"SUP";2013-11-07;"  ";"";"  ";9999-12-31;"  "
11863128;0;0;"EP";"SUP";2014-08-01;"  ";"";"  ";9999-12-31;"  "
11863128;2012;41;"JP";"ISR";9999-12-31;"WO";"2012137356";"A1";2012-10-11;"ja"
6820449;2007;24;"EP";"ISR";9999-12-31;"WO";"2007066117";"A1";2007-06-14;"en"
6827215;0;0;"EP";"SUP";2010-06-07;"  ";"";"  ";9999-12-31;"  "
14780378;0;0;"EP";"SUP";2016-02-16;"  ";"";"  ";9999-12-31;"  "
14780378;2014;41;"JP";"ISR";9999-12-31;"WO";"2014163177";"A1";2014-10-09;"ja"
14799336;2015;19;"EP";"ISR";9999-12-31;"WO";"2015067271";"A1";2015-05-14;"en"
81100232;0;0;"EP";"SUP";1982-09-09;"  ";"";"  ";9999-12-31;"  "
12701433;2012;30;"EP";"ISR";9999-12-31;"WO";"2012097819";"A1";2012-07-26;"en"
12707028;2012;35;"EP";"ISR";9999-12-31;"WO";"2012113402";"A1";2012-08-30;"en"
9251117;2013;27;"EP";"NAT";9999-12-31;"EP";"2128956";"A3";2013-07-03;"en"
9251266;0;0;"EP";"SUP";2016-06-03;"  ";"";"  ";9999-12-31;"  "
14185190;2015;22;"EP";"NAT";9999-12-31;"EP";"2876406";"A1";2015-05-27;"de"
14188683;0;0;"EP";"SUP";2015-06-19;"  ";"";"  ";9999-12-31;"  "
8075045;0;0;"EP";"SUP";2008-03-10;"  ";"";"  ";9999-12-31;"  "
8075045;2008;33;"EP";"NAT";9999-12-31;"EP";"1956236";"A1";2008-08-13;"en"
88308401;1989;13;"EP";"NAT";9999-12-31;"EP";"0309129";"A1";1989-03-29;"en"
1923565;2001;41;"EP";"ISR";9999-12-31;"WO";"0174662";"A1";2001-10-11;"de"
9178258;2011;51;"EP";"NAT";9999-12-31;"EP";"2202406";"A3";2011-12-21;"en"
9179029;0;0;"EP";"SUP";2011-03-23;"  ";"";"  ";9999-12-31;"  "
14810885;2014;51;"JP";"ISR";9999-12-31;"WO";"2014199898";"A1";2014-12-18;"ja"
14815699;2015;29;"EP";"ISR";9999-12-31;"WO";"2015106918";"A1";2015-07-23;"de"
14790727;2015;13;"EP";"ISR";9999-12-31;"WO";"2015044843";"A1";2015-04-02;"en"
14793174;2015;19;"EP";"ISR";9999-12-31;"WO";"2015067637";"A1";2015-05-14;"en"
14177704;2016;12;"EP";"NAT";9999-12-31;"EP";"2947758";"A3";2016-03-23;"en"
14181184;0;0;"EP";"SUP";2015-04-08;"  ";"";"  ";9999-12-31;"  "
14806532;2016;20;"EP";"ISR";9999-12-31;"WO";"2016074677";"A1";2016-05-19;"en"
14809139;2015;16;"EP";"ISR";9999-12-31;"WO";"2015057077";"A1";2015-04-23;"en"
11817195;0;0;"EP";"SUP";2013-09-27;"  ";"";"  ";9999-12-31;"  "
11817195;2012;41;"JP";"ISR";9999-12-31;"WO";"2012137371";"A1";2012-10-11;"ja"
11195350;0;0;"EP";"SUP";2012-09-14;"  ";"";"  ";9999-12-31;"  "
11195350;2013;26;"EP";"NAT";9999-12-31;"EP";"2607060";"A1";2013-06-26;"en"
8761574;2008;49;"ES";"ISR";9999-12-31;"WO";"2008145778";"A1";2008-12-04;"es"
8777601;0;0;"EP";"SUP";2012-08-29;"  ";"";"  ";9999-12-31;"  "
