id;appeal_date;appeal_nr;phase;date_state_grounds_filed;date_interloc_revision;result;result_date
8021990;2017-04-25;"T1016/17-3204";"opposition";2017-06-23;9999-12-31;"";9999-12-31
97954466;2006-06-09;"T0911/06-3502";"opposition";2006-07-27;9999-12-31;"CONTINUATION OF OPPOSITION PROCEDURE";2009-11-11
9180594;2014-11-24;"T2191/14-3204";"opposition";2015-01-29;9999-12-31;"";9999-12-31
11169135;2017-06-13;"T1394/17-3204";"opposition";2017-08-11;9999-12-31;"";9999-12-31
6255504;2018-01-26;"T0285/18-3205";"opposition";2018-03-22;9999-12-31;"";9999-12-31
6255504;2018-02-05;"T0285/18-3205";"opposition";2018-04-04;9999-12-31;"";9999-12-31
11152375;2018-07-12;"T1797/18-3204";"opposition";9999-12-31;9999-12-31;"";9999-12-31
11152375;2018-07-23;"T1797/18-3204";"opposition";9999-12-31;9999-12-31;"";9999-12-31
10710316;2016-12-23;"T2746/16-3204";"opposition";2017-02-21;9999-12-31;"";9999-12-31
10710316;2017-01-25;"T2746/16-3204";"opposition";2017-04-03;9999-12-31;"";9999-12-31
8716308;2016-06-16;"T1449/16-3204";"opposition";9999-12-31;9999-12-31;"WITHDRAWAL OF APPEAL OF THE OPPONENT";2016-08-12
97954466;2006-06-09;"T0911/06-3502";"opposition";2006-08-03;9999-12-31;"CONTINUATION OF OPPOSITION PROCEDURE";2009-11-11
86117856;1992-03-17;"T0229/92-3204";"opposition";1992-05-21;9999-12-31;"CONTINUATION OF OPPOSITION PROCEDURE";1994-08-23
12151703;2017-07-17;"T1604/17-3204";"opposition";9999-12-31;9999-12-31;"WITHDRAWAL OF APPEAL OF THE OPPONENT";2017-08-31
12778221;2016-10-17;"";"examination";2016-10-17;2016-10-27;"";9999-12-31
98954253;2004-10-12;"T1216/04-3204";"opposition";9999-12-31;9999-12-31;"WITHDRAWAL OF APPEAL OF THE OPPONENT";2004-12-02
8718866;2014-12-11;"T2288/14-3205";"opposition";2015-02-23;9999-12-31;"";9999-12-31
