id;ipc_text;change_date;bulletin_year;bulletin_nr
10822675;"A01H1/02, A01H5/00";2012-07-13;2012;33
10836376;"F02M57/06, F02M61/16, F02M61/18, F02M51/06, F02M21/02, F02D41/38, F02M57/00, F02P13/00, F02P19/02, F02D35/02, F02D37/02, F02B75/12, F02P5/04, F02D19/06";2016-01-22;2016;8
5735160;"B60K6/12, F01B5/00";2007-01-05;2007;6
5739297;"C08L5/00, A01K85/01, A61K9/70, A61K47/36, C08K5/053";2007-02-23;2007;13
10820947;"B32B23/00";2012-07-06;2012;32
10820947;"B32B3/16, B32B38/18, // F03D1/06, B32B5/18, B32B5/22, B32B37/12";2013-12-13;2014;3
10816756;"H02J7/35, H01M10/44, H01M10/48, H02J1/00, H02J3/38";2012-06-22;2012;30
10816756;"H02J7/35, H01M10/44, H01M10/48, H02J1/00, H02J3/38, H01M10/46, H02J1/14";2016-08-12;2016;37
14795548;"H02J3/16, F03D7/04, H02J3/38, H02J13/00";2016-09-02;2016;40
14807873;"B60L11/00, B60L15/00";2016-03-11;2016;15
14808033;"F01D5/28, F01D5/14, F02C7/00, B32B37/14";2016-03-11;2016;15
14812786;"H02G1/10, H02G15/068";2016-09-16;2016;42
5735313;"H04W8/18";2013-08-30;2013;40
5735313;"H04W76/02, H04W8/18";2015-07-31;2015;36
5750510;"B66B9/02, B66B11/04";2008-01-18;2008;8
5737715;"F15B11/044";2007-01-26;2007;9
10834666;"B23K15/00, B23K15/06, B23K26/20, B23K35/30, B23K31/00, C22C38/00, C22C38/06, C22C38/58";2012-09-07;2012;41
14786795;"F03D13/00";2016-07-22;2016;34
14789153;"F03D7/02, F03D13/00";2016-07-15;2016;33
14793498;"H02J3/36, F03D9/00";2017-06-02;2017;27
10834783;"H02J3/18, H02J3/16";2012-09-07;2012;41
10835234;"F03B13/12";2012-09-07;2012;41
10835234;"F03B13/12, F03B17/06, F03B13/20, F03B13/26, F03D9/00";2014-05-09;2014;24
14802850;"H02G13/00, G01R29/14, G01W1/16, G01R29/08";2016-08-26;2016;39
14806343;"F02B47/02, F02M57/00";2016-07-01;2016;31
5737601;"F01K23/00, F23J15/04, B01D53/14, F23D1/00";2007-11-30;2008;1
5745332;"F03D3/00";2007-02-23;2007;13
5727169;"H02K1/12, H02K1/22, H02K1/27, H02K21/24, H02K29/08";2006-11-10;2006;50
5727219;"F03D1/00";2007-01-12;2007;7
5725734;"F03B13/10";2006-12-01;2007;1
5725734;"F03B13/20, H02K7/18, H02K35/02, H02P3/22, B60L7/00, F03B13/18";2012-10-12;2012;46
5719166;"B29C39/10, B29C39/24, B29C39/42, // B29K105/06";2006-10-13;2006;46
5719166;"B29C39/10, B29C39/24, B29C39/42, B29K105/06";2010-03-19;2010;16
10825848;"F03B13/10, E02B9/00";2012-08-03;2012;36
10825848;"F03B13/10, E02B9/00, F03B17/06, F03B13/26";2013-04-12;2013;20
10835516;"E02B17/02, G01W1/02";2012-09-14;2012;42
10835516;"E02B17/02, G01W1/02, E02D27/52, G01W1/08, E02B17/00";2013-06-21;2013;30
5738046;"H04L12/18, H04Q7/22";2006-12-08;2007;2
10819474;"F02C6/14, F03B13/10, F02C6/16, F02C6/18";2012-06-29;2012;31
5727893;"H04Q7/38";2007-06-22;2007;30
5737224;"F03D11/04";2006-12-29;2007;5
5737224;"F03D11/04, F03D1/00";2012-10-05;2012;45
5730283;"F03B17/06";2006-12-29;2007;5
5748786;"H01L31/045, H01L31/042";2007-06-15;2007;29
10827987;"H02J3/46, G06Q50/00, H02J3/00, H02J3/32, H02J7/35, H02J13/00";2012-08-10;2012;37
5738509;"F16H21/46";2006-11-24;2006;52
10816757;"H02J3/46, G06F1/26, H02J13/00";2012-06-22;2012;30
10816757;"H02J3/00, H02J3/14, G06F1/26, // H02J3/38";2013-11-29;2014;1
5726345;"F03B17/06";2006-10-06;2006;45
