id;bulletin_year;bulletin_nr;publn_auth;publn_nr;publn_kind;publn_date;publn_lg
1850121;2004;49;"EP";"1170478";"B1";2004-12-01;"en"
5706625;2005;38;"WO";"2005088118";"A1";2005-09-22;"en"
11819588;2012;9;"WO";"2012026112";"A1";2012-03-01;"ja"
11819588;2013;27;"EP";"2610173";"A1";2013-07-03;"en"
11817188;2013;37;"EP";"2636897";"A1";2013-09-11;"en"
11817188;2017;28;"EP";"2636897";"B1";2017-07-12;"en"
8777332;2011;8;"EP";"2287465";"A1";2011-02-23;"en"
8777332;2016;25;"EP";"2287465";"B1";2016-06-22;"en"
1909403;2002;48;"EP";"1260432";"A1";2002-11-27;"en"
1913554;2001;33;"WO";"0159304";"A1";2001-08-16;"de"
8784433;2010;25;"EP";"2198153";"A1";2010-06-23;"en"
8784433;2011;29;"EP";"2198153";"B1";2011-07-20;"en"
5702884;2013;34;"EP";"1846657";"B1";2013-08-21;"en"
5706560;2005;38;"WO";"2005088122";"A1";2005-09-22;"en"
5705911;2005;32;"WO";"2005073631";"A1";2005-08-11;"en"
5705911;2006;43;"EP";"1714080";"A1";2006-10-25;"en"
5714222;2006;50;"EP";"1730460";"A1";2006-12-13;"en"
5719166;2005;34;"WO";"2005077632";"A1";2005-08-25;"en"
8788483;2010;20;"EP";"2185847";"A2";2010-05-19;"en"
8788483;2013;9;"EP";"2185847";"B1";2013-02-27;"en"
8775948;2009;4;"WO";"2009010736";"A2";2009-01-22;"en"
8775948;2010;13;"EP";"2167812";"A2";2010-03-31;"en"
1902354;2001;36;"WO";"0165131";"A1";2001-09-07;"de"
1902354;2002;48;"EP";"1259741";"A1";2002-11-27;"de"
1907550;2001;38;"WO";"0169081";"A1";2001-09-20;"de"
1907550;2002;51;"EP";"1266137";"A1";2002-12-18;"de"
5720772;2005;38;"WO";"2005088828";"A1";2005-09-22;"en"
5720772;2006;51;"EP";"1734650";"A1";2006-12-20;"en"
1910018;2001;36;"WO";"0165112";"A1";2001-09-07;"en"
1910018;2002;6;"EP";"1177379";"A1";2002-02-06;"en"
1902660;2002;31;"WO";"02059464";"A1";2002-08-01;"en"
1902660;2003;48;"EP";"1365106";"A1";2003-11-26;"en"
5709982;2006;45;"EP";"1719812";"A1";2006-11-08;"en"
5709982;2018;14;"EP";"1719812";"B1";2018-04-04;"en"
8785562;2009;9;"WO";"2009024295";"A2";2009-02-26;"de"
8785562;2010;16;"EP";"2176558";"A2";2010-04-21;"de"
1810891;2003;12;"EP";"1293681";"A1";2003-03-19;"de"
1890307;2002;20;"EP";"1205662";"A2";2002-05-15;"en"
1902354;2005;21;"EP";"1259741";"B1";2005-05-25;"de"
