id;set_seq_nr;bulletin_year;bulletin_nr;type;seq_nr;country
1610082;1;2002;6;"A";2;"CH"
1108887;8;2006;29;"A";2;"FR"
9744485;3;0;0;"A";2;"GR"
4292801;3;2017;4;"A";2;"RO"
98908040;1;1999;47;"A";1;"DK"
7076134;3;2012;11;"A";1;"DE"
16156238;1;2017;34;"A";2;"BE"
11726665;2;2013;40;"A";1;"PT"
7076111;2;2010;35;"A";1;"ES"
9744485;2;2014;9;"A";2;"AT"
5100785;1;2005;33;"A";1;"DE"
9764098;2;2014;10;"A";2;"HU"
12152566;1;2013;31;"A";2;"CH"
11726665;2;2013;40;"A";1;"GR"
9730599;4;2017;29;"A";2;"CZ"
1108887;8;2006;29;"A";2;"LU"
9744485;3;0;0;"A";2;"AT"
11726665;1;2013;7;"A";1;"GR"
8075047;4;2011;1;"A";1;"LI"
13167112;3;0;0;"A";2;"CZ"
98913566;3;0;0;"A";1;"IT"
8870460;2;2013;39;"A";2;"IE"
8870460;2;2013;39;"A";1;"DE"
9730599;4;2017;29;"A";2;"IT"
9764098;4;0;0;"A";2;"ES"
98913566;3;0;0;"A";1;"CH"
6126121;2;2008;38;"A";1;"DE"
1108887;8;2006;29;"A";2;"PT"
9730599;3;2016;35;"A";2;"ES"
9730599;2;2014;10;"A";2;"NO"
1108887;7;2006;12;"A";2;"MC"
9730599;4;2017;29;"A";2;"MT"
8870460;3;2014;9;"A";2;"NO"
98908040;2;2001;32;"A";1;"FI"
8075047;4;2011;1;"A";1;"AT"
8075047;4;2011;1;"A";1;"SI"
9764098;3;2016;35;"A";2;"GR"
16156238;1;2017;34;"A";2;"CY"
9154478;1;2009;42;"A";1;"ES"
13167112;3;0;0;"A";2;"FI"
16156238;1;2017;34;"A";2;"SM"
8870460;3;2014;9;"A";2;"CH"
9730599;3;2016;35;"A";2;"LT"
4292801;2;2006;29;"A";3;"GR"
12152566;1;2013;31;"A";2;"CZ"
79301012;2;1980;12;"A";1;"GB"
81890064;1;1981;42;"A";1;"DE"
16156238;1;2017;34;"A";2;"GR"
6126121;1;2007;27;"A";1;"DE"
91113634;2;2004;34;"A";1;"CH"
7076134;4;2014;28;"A";1;"BE"
11726665;2;2013;40;"A";1;"SK"
8870460;1;2010;39;"A";2;"SK"
9730599;3;2016;35;"A";2;"EE"
98913566;2;2001;32;"A";1;"IT"
12152566;2;0;0;"A";2;"SE"
12152566;2;0;0;"A";2;"LV"
