id;child_id;relation_type
13701924;16192611;"division"
11709240;15195722;"division"
11760659;17189398;"division"
12700088;15002072;"division"
12700088;15002073;"division"
5021796;12005483;"division"
6027134;13193900;"division"
6836472;11000276;"division"
7254652;11156482;"division"
910428;6013371;"division"
1932258;7116805;"division"
4075968;7106572;"division"
4075968;9173278;"division"
9015780;11003792;"division"
9015780;11003793;"division"
9702345;10177670;"division"
10732719;16192322;"division"
6020035;7023997;"division"
6020035;7023998;"division"
6020035;8013611;"division"
6704743;8015451;"division"
7716207;10186734;"division"
9831246;17188892;"division"
10155598;15152947;"division"
10714130;17157342;"division"
8874837;17159751;"division"
9003589;13002110;"division"
9380102;13002613;"division"
9380102;13002614;"division"
13709903;16174522;"division"
13730476;17168164;"division"
15168384;16181162;"division"
92310941;96104485;"division"
9175923;11176726;"division"
11175560;16200681;"division"
11250268;15161183;"division"
11720320;14161311;"division"
3001844;6125611;"division"
4029446;9010086;"division"
4713429;10013435;"division"
5745857;12182556;"division"
4787807;14178243;"division"
6012772;10005681;"division"
6754395;10189747;"division"
6754395;11188991;"division"
98810670;3013019;"division"
9163084;12183009;"division"
10722591;17173907;"division"
10860454;15155090;"division"
11764997;16194058;"division"
11767186;15151695;"division"
12710123;14165929;"division"
12746356;15168110;"division"
12801453;14003651;"division"
7118645;16188424;"division"
7844608;10157356;"division"
11719360;13164507;"division"
11719360;13164527;"division"
5790045;9003468;"division"
6701141;15157752;"division"
6701141;15182435;"division"
7022689;13151905;"division"
12176773;16192861;"division"
13792076;15199386;"division"
13792076;15199389;"division"
13792076;15199398;"division"
4739904;11010032;"division"
5770177;10185934;"division"
8001625;10174502;"division"
9720371;11151780;"division"
13705098;15000598;"division"
13794810;17162318;"division"
16163651;17185329;"division"
16163651;17185330;"division"
8798823;12176385;"division"
8798823;14182576;"division"
10251521;14179852;"division"
10706269;12196704;"division"
1951485;8165143;"division"
1951485;12175268;"division"
1969376;10182260;"division"
2021275;8020893;"division"
7737398;12157148;"division"
8784959;10005775;"division"
8784959;10005776;"division"
9176006;11169616;"division"
8758513;12192628;"division"
10167959;12189106;"division"
13783056;16172632;"division"
88119987;91113847;"division"
3757752;10184069;"division"
3757752;17177016;"division"
4704812;17178692;"division"
4704812;17178696;"division"
9782257;11164384;"division"
11000112;15185139;"division"
11729959;16166307;"division"
12732958;14181068;"division"
7105971;11194548;"division"
7700184;12169956;"division"
7700184;16173903;"division"
9010289;11005839;"division"
11793649;16165517;"division"
14800782;17152639;"division"
14800782;18156950;"division"
80302686;83200231;"division"
6788780;9153667;"division"
7790151;13002471;"division"
7790151;13002472;"division"
7790151;13002473;"division"
10724867;17208372;"division"
12711622;16178515;"division"
12762644;16170853;"division"
16154876;18156708;"division"
5702884;12189806;"division"
6700420;8018058;"division"
7100766;15169375;"division"
9741755;12175700;"division"
8736991;10188051;"division"
10764015;16159275;"division"
12724387;15163292;"division"
13745885;17175360;"division"
7756971;8172262;"division"
7825244;11188871;"division"
7827116;11007607;"division"
8777601;17176295;"division"
6787019;12151912;"division"
7806654;12175578;"division"
7832483;13172384;"division"
7832483;13172386;"division"
98966834;1122899;"division"
98966834;3025997;"division"
98966834;10180851;"division"
99963934;10013173;"division"
13161084;16153362;"division"
14194263;16189338;"division"
14844628;17200514;"division"
16704545;17001613;"division"
7790151;13002498;"division"
9003009;14183491;"division"
10781724;13003020;"division"
10814046;15155290;"division"
9793713;14195278;"division"
10746925;13191791;"division"
10807608;12185352;"division"
10807608;12185354;"division"
8720237;13002476;"division"
8720237;13002499;"division"
9798844;16162692;"division"
10150625;15150159;"division"
13792076;15199399;"division"
13792076;15199400;"division"
14801806;17164832;"division"
15192914;16176796;"division"
84116003;90119306;"division"
97944167;4018354;"division"
9730599;17174680;"division"
9742531;16183846;"division"
10161062;11189912;"division"
10192716;15188924;"division"
12778261;17153315;"division"
12870338;17193282;"division"
14745639;15188732;"division"
99963934;10013174;"division"
99963934;10013175;"division"
95305720;116388;"division"
12740038;17201371;"division"
6808520;11009493;"division"
7825299;10172973;"division"
8157382;10182132;"division"
8729852;12182637;"division"
11773766;16157178;"division"
11834441;16198195;"division"
11834441;16198206;"division"
11834441;18152981;"division"
10192716;17181547;"division"
11722706;16172461;"division"
12724386;15163289;"division"
13165379;16153598;"division"
6120999;10185928;"division"
7764453;16179509;"division"
8716308;12151703;"division"
9172777;13005628;"division"
86112487;92107691;"division"
4799029;6075352;"division"
7716132;10181865;"division"
8005842;10002102;"division"
9172056;17201700;"division"
9851237;13199423;"division"
10003890;15182255;"division"
11162565;14185490;"division"
11162565;14185491;"division"
13186943;18153924;"division"
9726920;16160669;"division"
9726920;18158100;"division"
10195387;15159313;"division"
10757161;15176042;"division"
10180777;11153383;"division"
10183692;14173694;"division"
10754510;15002976;"division"
10856497;15182124;"division"
9016123;17156896;"division"
9744485;13167112;"division"
10154694;10185397;"division"
10382250;13165754;"division"
10174991;14183764;"division"
12169956;16173903;"division"
12794167;16194100;"division"
90121216;95101254;"division"
12727475;17207795;"division"
12774617;15001034;"division"
13781338;15181648;"division"
13825526;17185643;"division"
