id;bulletin_year;bulletin_nr;date_type;event_date;cause_interruption;converted_to_country
10250676;0;0;"FEXRRQ";2018-03-27;"NA";"  "
10250676;2014;52;"RQEXAM";2014-11-14;"NA";"  "
10305351;2017;26;"OPPNFI";2017-04-21;"NA";"  "
10703032;0;0;"FEXRRQ";2013-09-05;"NA";"  "
10703032;2012;16;"RQEXAM";2012-01-11;"NA";"  "
7824815;0;0;"FEXRRQ";2009-12-14;"NA";"  "
7824815;2009;27;"RQEXAM";2009-04-14;"NA";"  "
7824815;2011;18;"OPPNFI";2011-03-01;"NA";"  "
10703610;2012;10;"RQEXAM";2010-02-25;"NA";"  "
10703610;2013;27;"WDRWNA";2013-05-23;"NA";"  "
12198399;2015;35;"DWDRWN";2014-12-12;"NA";"  "
5290580;0;0;"FEXRRQ";2012-04-23;"NA";"  "
5290580;2011;44;"RQEXAM";2011-09-23;"NA";"  "
5290580;2013;33;"OPPNFI";2013-06-06;"NA";"  "
2020907;0;0;"FEXRRQ";2004-09-30;"NA";"  "
2020907;2004;12;"RQEXAM";2004-01-13;"NA";"  "
2020907;2006;44;"OPPNFI";2006-08-24;"NA";"  "
7838389;0;0;"FEXRRQ";2017-03-07;"NA";"  "
7838389;2009;30;"RQEXAM";2009-04-03;"NA";"  "
7838389;2018;24;"OPPNFI";2018-04-06;"NA";"  "
7825299;0;0;"FEXRRQ";2009-11-11;"NA";"  "
7825299;2009;43;"RQEXAM";2009-07-10;"NA";"  "
7825299;2016;14;"DWDRWN";2015-11-03;"NA";"  "
7827116;2018;16;"OPPNFI";2018-02-13;"NA";"  "
10707859;0;0;"FEXRRQ";2017-10-23;"NA";"  "
10707859;2012;38;"RQEXAM";2012-03-21;"NA";"  "
5405545;2008;13;"DWDRWN";2007-09-22;"NA";"  "
7836743;0;0;"FEXRRQ";2013-04-18;"NA";"  "
7836743;2009;18;"RQEXAM";2009-02-09;"NA";"  "
5256517;0;0;"FEXRRQ";2006-12-08;"NA";"  "
5256517;2006;52;"RQEXAM";2006-11-10;"NA";"  "
5256517;2008;52;"OPPNFI";2008-10-17;"NA";"  "
5291532;2010;40;"OPPNFI";2010-07-29;"NA";"  "
5405627;2007;30;"WDRWNA";2007-06-14;"NA";"  "
7833215;0;0;"FEXRRQ";2016-03-30;"NA";"  "
5700596;0;0;"FEXRRQ";2013-01-02;"NA";"  "
5700596;2006;45;"RQEXAM";2006-08-11;"NA";"  "
5700596;2017;2;"DWDRWN";2016-08-02;"NA";"  "
2018507;0;0;"FEXRRQ";2005-03-14;"NA";"  "
2018507;2003;43;"RQEXAM";2003-08-20;"NA";"  "
2018507;2006;33;"DWDRWN";2006-02-24;"NA";"  "
2027287;0;0;"FEXRRQ";2009-03-17;"NA";"  "
2027287;2003;42;"RQEXAM";2003-08-11;"NA";"  "
2027287;2016;36;"DWDRWN";2016-02-27;"NA";"  "
2029075;2005;3;"DWDRWN";2004-04-16;"NA";"  "
5258059;0;0;"FEXRRQ";2007-08-08;"NA";"  "
5258059;2007;33;"RQEXAM";2007-06-29;"NA";"  "
2023189;2005;12;"DWDRWN";2004-05-27;"NA";"  "
2025175;0;0;"FEXRRQ";2005-11-02;"NA";"  "
2025175;2004;49;"RQEXAM";2004-02-11;"NA";"  "
5291656;0;0;"FEXRRQ";2006-11-24;"NA";"  "
5291656;2006;8;"RQEXAM";2005-08-10;"NA";"  "
5291656;2010;38;"OPPNFI";2010-07-15;"NA";"  "
2022722;2005;45;"DWDRWN";2005-05-03;"NA";"  "
2025194;2005;9;"WDRWNA";2003-08-28;"NA";"  "
5292105;0;0;"FEXRRQ";2009-12-03;"NA";"  "
2022246;0;0;"FEXRRQ";2003-01-24;"NA";"  "
2022246;2003;16;"RQEXAM";2002-10-02;"NA";"  "
2025454;0;0;"FEXRRQ";2006-03-08;"NA";"  "
2025882;0;0;"FEXRRQ";2006-05-29;"NA";"  "
2025882;2004;3;"RQEXAM";2003-11-18;"NA";"  "
5381061;2011;26;"WDRWNA";2011-05-24;"NA";"  "
7839672;2009;32;"RQEXAM";2009-05-12;"NA";"  "
7839672;2014;6;"DWDRWN";2013-08-02;"NA";"  "
10703638;0;0;"FEXRRQ";2012-08-17;"NA";"  "
2027210;0;0;"FEXRRQ";2006-02-20;"NA";"  "
2027210;2004;24;"RQEXAM";2004-03-23;"NA";"  "
2027210;2007;27;"OPPNFI";2007-04-27;"NA";"  "
2019454;0;0;"FEXRRQ";2003-10-01;"NA";"  "
2019454;2003;44;"RQEXAM";2003-08-28;"NA";"  "
2019454;2006;24;"OPPNFI";2006-04-07;"NA";"  "
2026685;2003;23;"RQEXAM";2002-11-29;"NA";"  "
2026685;2006;33;"DWDRWN";2006-01-10;"NA";"  "
5257290;0;0;"FEXRRQ";2007-02-08;"NA";"  "
2020876;0;0;"FEXRRQ";2005-02-17;"NA";"  "
2020876;2004;48;"RQEXAM";2004-09-24;"NA";"  "
2020876;2006;11;"DWDRWN";2005-06-29;"NA";"  "
2026382;0;0;"FEXRRQ";2010-03-31;"NA";"  "
2026382;2004;13;"RQEXAM";2003-12-22;"NA";"  "
2026382;2013;35;"OPPNFI";2013-06-20;"NA";"  "
2020246;0;0;"FEXRRQ";2005-09-01;"NA";"  "
2020246;2003;21;"RQEXAM";2002-09-10;"NA";"  "
2020246;2008;27;"DWDRWN";2008-01-11;"NA";"  "
2018224;0;0;"FEXRRQ";2009-07-07;"NA";"  "
2018224;2003;21;"RQEXAM";2003-03-24;"NA";"  "
2018224;2012;21;"OPPNFI";2012-03-16;"NA";"  "
2024766;0;0;"FEXRRQ";2004-03-08;"NA";"  "
2024766;2004;1;"RQEXAM";2003-10-24;"NA";"  "
2024766;2007;13;"OPPNFI";2007-01-22;"NA";"  "
10702403;0;0;"FEXRRQ";2017-05-24;"NA";"  "
10702403;2011;43;"RQEXAM";2011-07-13;"NA";"  "
10702604;0;0;"FEXRRQ";2014-04-10;"NA";"  "
2020675;0;0;"FEXRRQ";2008-04-10;"NA";"  "
2020675;2007;50;"RQEXAM";2007-10-30;"NA";"  "
2020675;2010;30;"OPPNFI";2010-05-20;"NA";"  "
5381045;0;0;"FEXRRQ";2007-08-02;"NA";"  "
5381045;2007;32;"RQEXAM";2007-06-27;"NA";"  "
5381045;2009;15;"WDRWNA";2009-02-26;"NA";"  "
10703032;2014;30;"DWDRWN";2014-01-16;"NA";"  "
10703268;0;0;"FEXRRQ";2012-12-21;"NA";"  "
10703268;2012;23;"RQEXAM";2012-01-18;"NA";"  "
5700564;0;0;"FEXRRQ";2012-03-15;"NA";"  "
5700564;2006;41;"RQEXAM";2006-07-13;"NA";"  "
5700598;0;0;"FEXRRQ";2006-11-10;"NA";"  "
5257290;2007;8;"RQEXAM";2007-01-05;"NA";"  "
5257290;2017;23;"OPPNFI";2017-03-30;"NA";"  "
5291065;0;0;"FEXRRQ";2006-09-29;"NA";"  "
10305103;0;0;"FEXRRQ";2012-03-05;"NA";"  "
10305103;2012;10;"RQEXAM";2012-01-27;"NA";"  "
10305103;2013;31;"OPPNFI";2013-05-23;"NA";"  "
5405009;2007;41;"DWDRWN";2007-01-13;"NA";"  "
5700553;0;0;"FEXRRQ";2010-09-20;"NA";"  "
5700553;2006;40;"RQEXAM";2006-07-01;"NA";"  "
10702604;2012;49;"RQEXAM";2012-04-25;"NA";"  "
10702604;2015;32;"OPPNFI";2015-05-28;"NA";"  "
12193155;0;0;"FEXRRQ";2015-03-12;"NA";"  "
2022955;0;0;"FEXRRQ";2005-05-13;"NA";"  "
2022955;2004;5;"RQEXAM";2003-11-28;"NA";"  "
2022955;2008;33;"OPPNFI";2008-06-06;"NA";"  "
7836743;2015;22;"DWDRWN";2014-11-20;"NA";"  "
10425233;0;0;"FEXRRQ";2012-01-13;"NA";"  "
10425233;2011;35;"RQEXAM";2011-07-22;"NA";"  "
5700598;2006;41;"RQEXAM";2006-07-13;"NA";"  "
5700598;2008;47;"OPPNFI";2008-09-15;"NA";"  "
7827653;0;0;"FEXRRQ";2010-01-21;"NA";"  "
5255847;0;0;"FEXRRQ";2006-10-25;"NA";"  "
5255847;2006;46;"RQEXAM";2006-09-29;"NA";"  "
5255847;2016;26;"OPPNFI";2016-04-25;"NA";"  "
7833215;2009;35;"RQEXAM";2009-05-15;"NA";"  "
7833215;2018;10;"OPPNFI";2018-01-03;"NA";"  "
7842073;0;0;"FEXRRQ";2015-07-09;"NA";"  "
5258059;2009;32;"OPPNFI";2009-05-28;"NA";"  "
5447209;2008;12;"DWDRWN";2007-09-22;"NA";"  "
7834485;2009;25;"RQEXAM";2009-04-03;"NA";"  "
7830542;0;0;"FEXRRQ";2010-10-19;"NA";"  "
7830542;2009;24;"RQEXAM";2009-03-23;"NA";"  "
7830542;2012;11;"OPPNFI";2012-01-10;"NA";"  "
2020914;0;0;"FEXRRQ";2004-04-16;"NA";"  "
2020914;2004;10;"RQEXAM";2003-12-17;"NA";"  "
2020914;2006;29;"OPPNFI";2006-05-11;"NA";"  "
10398010;0;0;"FEXRRQ";2018-02-22;"NA";"  "
10398010;2017;49;"RQEXAM";2017-10-25;"NA";"  "
10700872;0;0;"FEXRRQ";2012-05-16;"NA";"  "
7827653;2009;46;"RQEXAM";2009-08-12;"NA";"  "
7827653;2015;8;"OPPNFI";2014-12-15;"NA";"  "
7839955;0;0;"FEXRRQ";2011-10-13;"NA";"  "
2029082;0;0;"FEXRRQ";2005-02-04;"NA";"  "
2029082;2004;48;"RQEXAM";2004-09-23;"NA";"  "
2029082;2007;32;"OPPNFI";2007-05-31;"NA";"  "
2026380;0;0;"FEXRRQ";2006-05-18;"NA";"  "
2026380;2004;10;"RQEXAM";2003-12-22;"NA";"  "
2026380;2008;25;"OPPNFI";2008-04-14;"NA";"  "
5256890;2008;21;"DWDRWN";2007-11-10;"NA";"  "
7825230;2008;49;"RQEXAM";2008-09-16;"NA";"  "
7825230;2015;11;"DWDRWN";2014-10-01;"NA";"  "
2026381;0;0;"FEXRRQ";2005-01-10;"NA";"  "
2026381;2004;16;"RQEXAM";2003-12-22;"NA";"  "
2026381;2007;11;"OPPNFI";2007-01-08;"NA";"  "
5292105;2006;34;"RQEXAM";2006-07-13;"NA";"  "
5292105;2010;41;"DWDRWN";2010-04-14;"NA";"  "
7827428;0;0;"FEXRRQ";2015-06-02;"NA";"  "
5425857;0;0;"FEXRRQ";2008-01-14;"NA";"  "
5425857;2008;3;"RQEXAM";2007-12-03;"NA";"  "
5425857;2012;7;"DWDRWN";2011-08-12;"NA";"  "
2025454;2004;2;"RQEXAM";2003-11-06;"NA";"  "
2025454;2008;13;"OPPNFI";2008-01-21;"NA";"  "
2075658;2004;46;"DWDRWN";2004-02-21;"NA";"  "
10703638;2012;5;"RQEXAM";2011-10-10;"NA";"  "
10703638;2013;52;"OPPNFI";2013-10-17;"NA";"  "
10707732;0;0;"FEXRRQ";2012-10-09;"NA";"  "
5705126;0;0;"FEXRRQ";2009-01-22;"NA";"  "
5705126;2006;38;"RQEXAM";2006-07-25;"NA";"  "
10251567;0;0;"FEXRRQ";2017-02-03;"NA";"  "
10251048;2014;52;"DWDRWN";2014-06-05;"NA";"  "
10251434;0;0;"FEXRRQ";2015-01-21;"NA";"  "
10251434;2013;16;"RQEXAM";2013-03-11;"NA";"  "
5256747;0;0;"FEXRRQ";2011-03-04;"NA";"  "
5256747;2011;6;"RQEXAM";2010-12-22;"NA";"  "
5256747;2012;36;"OPPNFI";2012-06-29;"NA";"  "
5380264;2008;25;"DWDRWN";2007-12-07;"NA";"  "
5380264;2008;29;"RQCONV";2008-04-04;"NA";"PT"
10250408;0;0;"FEXRRQ";2015-11-25;"NA";"  "
5700955;0;0;"FEXRRQ";2007-01-12;"NA";"  "
5700955;2006;41;"RQEXAM";2006-07-27;"NA";"  "
5700955;2008;20;"OPPNFI";2008-03-07;"NA";"  "
7839776;0;0;"FEXRRQ";2014-02-20;"NA";"  "
7839776;2009;39;"RQEXAM";2009-07-22;"NA";"  "
10251133;0;0;"FEXRRQ";2011-08-26;"NA";"  "
7834485;2013;41;"DWDRWN";2013-04-03;"NA";"  "
10251475;0;0;"FEXRRQ";2015-11-30;"NA";"  "
10251475;2015;9;"RQEXAM";2015-01-15;"NA";"  "
7830854;0;0;"FEXRRQ";2014-02-21;"NA";"  "
7830854;2009;32;"RQEXAM";2009-05-13;"NA";"  "
7830854;2016;37;"OPPNFI";2016-07-08;"NA";"  "
10380014;2014;27;"DWDRWN";2014-01-11;"NA";"  "
10382111;2012;18;"WDRWNA";2012-03-22;"NA";"  "
10701312;0;0;"FEXRRQ";2012-04-27;"NA";"  "
5292793;0;0;"FEXRRQ";2012-01-25;"NA";"  "
5292793;2012;2;"RQEXAM";2011-12-05;"NA";"  "
5292793;2015;31;"DWDRWN";2015-01-13;"NA";"  "
7827428;2009;37;"RQEXAM";2009-05-27;"NA";"  "
7827428;2016;11;"DWDRWN";2015-10-13;"NA";"  "
10250661;2011;21;"RQEXAM";2011-04-13;"NA";"  "
7832082;0;0;"FEXRRQ";2013-11-13;"NA";"  "
7832082;2010;20;"RQEXAM";2010-02-23;"NA";"  "
7832082;2015;31;"DWDRWN";2015-02-03;"NA";"  "
5291065;2006;47;"RQEXAM";2006-04-06;"NA";"  "
5291065;2008;38;"OPPNFI";2008-07-11;"NA";"  "
5700655;0;0;"FEXRRQ";2007-06-19;"NA";"  "
10700872;2011;48;"RQEXAM";2011-08-15;"NA";"  "
10700872;2014;11;"OPPNFI";2014-01-06;"NA";"  "
10702042;0;0;"FEXRRQ";2014-01-17;"NA";"  "
10250408;2014;27;"RQEXAM";2014-05-23;"NA";"  "
10250408;2017;6;"OPPNFI";2016-12-05;"NA";"  "
10250419;2016;2;"RQEXAM";2015-12-02;"NA";"  "
10704096;2014;46;"DWDRWN";2014-06-04;"NA";"  "
10706436;0;0;"FEXRRQ";2013-01-07;"NA";"  "
10706436;2012;1;"RQEXAM";2011-08-18;"NA";"  "
10250661;2014;29;"WDRWNA";2014-06-11;"NA";"  "
10700993;0;0;"FEXRRQ";2014-09-22;"NA";"  "
10700993;0;0;"PMNTAM";2018-04-25;"NA";"  "
12193155;2015;9;"RQEXAM";2014-11-21;"NA";"  "
12193155;2016;27;"OPPNFI";2016-05-02;"NA";"  "
12197385;0;0;"FEXRRQ";2016-12-09;"NA";"  "
10703268;2014;17;"OPPNFI";2014-02-18;"NA";"  "
10703611;0;0;"FEXRRQ";2014-05-09;"NA";"  "
10703611;2012;49;"RQEXAM";2010-02-25;"NA";"  "
10702042;2011;51;"RQEXAM";2011-09-05;"NA";"  "
10702042;2015;13;"OPPNFI";2015-01-19;"NA";"  "
12192343;2013;22;"RQEXAM";2012-12-12;"NA";"  "
12197275;0;0;"FEXRRQ";2015-03-18;"NA";"  "
12197275;2014;8;"RQEXAM";2013-12-17;"NA";"  "
12197275;2017;13;"DWDRWN";2016-10-28;"NA";"  "
10425233;2014;40;"OPPNFI";2014-07-24;"NA";"  "
10700055;0;0;"FEXRRQ";2013-04-08;"NA";"  "
10700055;2011;49;"RQEXAM";2011-08-11;"NA";"  "
10700993;2012;27;"RQEXAM";2012-01-10;"NA";"  "
12193617;0;0;"FEXRRQ";2016-12-21;"NA";"  "
12193617;2015;2;"RQEXAM";2014-11-27;"NA";"  "
5257692;0;0;"FEXRRQ";2010-05-21;"NA";"  "
5257692;2010;22;"RQEXAM";2010-04-21;"NA";"  "
5290609;0;0;"FEXRRQ";2006-03-06;"NA";"  "
10250678;0;0;"FEXRRQ";2015-07-06;"NA";"  "
10250678;2014;47;"RQEXAM";2014-10-07;"NA";"  "
10250678;2016;41;"OPPNFI";2016-08-05;"NA";"  "
5700655;2006;47;"RQEXAM";2006-09-18;"NA";"  "
5700655;2011;49;"OPPNFI";2011-09-30;"NA";"  "
10382117;2012;26;"RQEXAM";2012-05-16;"NA";"  "
10382294;0;0;"FEXRRQ";2016-06-02;"NA";"  "
10382294;2012;46;"RQEXAM";2012-10-02;"NA";"  "
10398002;2014;32;"DWDRWN";2014-01-03;"NA";"  "
12192745;0;0;"FEXRRQ";2016-04-05;"NA";"  "
12192745;2014;26;"RQEXAM";2014-05-16;"NA";"  "
12196889;2013;28;"RQEXAM";2012-12-13;"NA";"  "
10305167;0;0;"FEXRRQ";2012-05-22;"NA";"  "
10305167;2012;3;"RQEXAM";2011-12-13;"NA";"  "
10305167;2013;52;"OPPNFI";2013-10-17;"NA";"  "
10701312;2011;42;"RQEXAM";2011-07-01;"NA";"  "
10701312;2014;11;"OPPNFI";2014-01-06;"NA";"  "
10701712;0;0;"FEXRRQ";2012-09-25;"NA";"  "
5701620;0;0;"FEXRRQ";2009-07-10;"NA";"  "
5701620;2006;43;"RQEXAM";2006-09-04;"NA";"  "
5701620;2017;21;"OPPNFI";2017-03-16;"NA";"  "
7842073;2009;24;"RQEXAM";2009-04-14;"NA";"  "
10250890;0;0;"FEXRRQ";2015-09-07;"NA";"  "
10250890;2011;38;"RQEXAM";2010-05-28;"NA";"  "
2025175;2008;6;"OPPNFI";2007-11-29;"NA";"  "
5300012;0;0;"FEXRRQ";2008-04-18;"NA";"  "
5300012;2005;28;"RQEXAM";2005-01-07;"NA";"  "
5405270;0;0;"FEXRRQ";2007-10-01;"NA";"  "
5405270;2007;16;"RQEXAM";2007-03-07;"NA";"  "
5405270;2009;29;"OPPNFI";2009-05-07;"NA";"  "
10251434;2016;35;"DWDRWN";2016-03-08;"NA";"  "
10382075;0;0;"FEXRRQ";2012-07-06;"NA";"  "
10382075;2012;20;"RQEXAM";2012-04-05;"NA";"  "
5468006;2009;4;"DWDRWN";2008-07-24;"NA";"  "
10701300;2011;48;"RQEXAM";2011-08-03;"NA";"  "
10701300;2012;42;"DWDRWN";2012-03-27;"NA";"  "
10251475;2016;40;"DWDRWN";2016-04-12;"NA";"  "
10251543;0;0;"FEXRRQ";2014-11-13;"NA";"  "
10251543;2014;42;"RQEXAM";2014-09-08;"NA";"  "
10700055;2014;41;"OPPNFI";2014-07-31;"NA";"  "
10701627;0;0;"FEXRRQ";2012-08-31;"NA";"  "
10701627;2011;48;"RQEXAM";2011-08-26;"NA";"  "
5255980;2011;39;"DWDRWN";2011-04-01;"NA";"  "
5381058;2013;16;"DWDRWN";2012-10-05;"NA";"  "
10252197;0;0;"FEXRRQ";2012-02-15;"NA";"  "
10251133;2011;32;"RQEXAM";2011-06-29;"NA";"  "
10251133;2013;52;"OPPNFI";2013-10-17;"NA";"  "
10704777;0;0;"FEXRRQ";2016-09-09;"NA";"  "
10382295;0;0;"FEXRRQ";2013-06-14;"NA";"  "
10382295;2012;52;"RQEXAM";2012-11-16;"NA";"  "
10382295;2015;35;"OPPNFI";2015-06-18;"NA";"  "
12199364;0;0;"FEXRRQ";2015-07-03;"NA";"  "
12199364;2014;18;"RQEXAM";2012-12-24;"NA";"  "
12382247;0;0;"FEXRRQ";2015-01-05;"NA";"  "
12382029;0;0;"FEXRRQ";2014-03-27;"NA";"  "
12382029;2014;11;"RQEXAM";2014-01-31;"NA";"  "
12382029;2017;40;"OPPNFI";2017-07-27;"NA";"  "
7834918;2009;39;"RQEXAM";2009-04-27;"NA";"  "
7834918;2012;2;"DWDRWN";2011-02-01;"NA";"  "
7838547;0;0;"FEXRRQ";2009-11-26;"NA";"  "
10250350;0;0;"FEXRRQ";2014-12-15;"NA";"  "
10250350;2011;4;"RQEXAM";2010-12-13;"NA";"  "
10250350;2016;14;"OPPNFI";2016-02-01;"NA";"  "
10707732;2012;1;"RQEXAM";2011-08-18;"NA";"  "
10707732;2015;7;"DWDRWN";2014-09-02;"NA";"  "
12192936;2014;21;"RQEXAM";2012-11-16;"NA";"  "
5405373;0;0;"FEXRRQ";2008-01-21;"NA";"  "
5405373;2007;28;"RQEXAM";2007-05-30;"NA";"  "
5405373;2009;16;"OPPNFI";2009-02-10;"NA";"  "
7839955;2009;48;"RQEXAM";2009-06-30;"NA";"  "
7839955;2013;50;"OPPNFI";2013-10-03;"NA";"  "
7842070;0;0;"FEXRRQ";2015-11-10;"NA";"  "
12197385;2015;5;"RQEXAM";2014-12-18;"NA";"  "
12382054;2014;14;"RQEXAM";2014-02-21;"NA";"  "
12701433;0;0;"FEXRRQ";2017-06-06;"NA";"  "
10703611;2015;37;"OPPNFI";2015-07-02;"NA";"  "
10705676;0;0;"FEXRRQ";2014-02-07;"NA";"  "
10705676;2011;52;"RQEXAM";2011-09-09;"NA";"  "
10251922;0;0;"FEXRRQ";2018-06-01;"NA";"  "
10251922;2014;47;"RQEXAM";2014-10-08;"NA";"  "
10703792;0;0;"FEXRRQ";2016-04-15;"NA";"  "
10250890;2017;7;"OPPNFI";2016-12-12;"NA";"  "
10250941;0;0;"FEXRRQ";2016-09-23;"NA";"  "
10250941;2014;25;"RQEXAM";2014-05-07;"NA";"  "
10701712;2011;42;"RQEXAM";2011-07-11;"NA";"  "
