id;bulletin_year;bulletin_nr;licensee_seq_nr;licensee_country
9009058;2014;13;"01";"MK"
14837373;2018;17;"01";"MK"
11767374;2015;24;"01  01";"TR"
8715664;2014;30;"01  01";"BE"
4447286;2006;32;"01  00";"GB"
82200582;0;0;"01  00";"DE"
11703242;2013;25;"01";"SI"
6841815;2009;8;"01  01";"GB"
5766122;2010;52;"01";"IT"
9735221;2013;25;"01";"HU"
8707361;2011;23;"01  01";"BE"
6076187;2009;36;"01";"CH"
6755831;2008;34;"01";"EE"
9725403;2013;25;"01";"BG"
9735221;2013;25;"01";"GB"
11290434;2013;40;"01";"IS"
5773954;2008;34;"01";"BG"
11767374;2015;24;"01  01";"PL"
9009059;2014;13;"01";"EE"
7705633;2008;34;"01";"MC"
9009058;2014;13;"01";"SE"
90303340;0;0;"01  00";"LU"
8701733;2012;6;"01";"ES"
9785200;2013;25;"01";"TR"
8701733;2012;6;"01";"SI"
5773954;2008;34;"01";"LT"
9737113;2013;25;"01";"CZ"
11710901;2013;17;"01  01";"SE"
4727186;2008;2;"01  00";"IE"
15794271;2018;21;"01  00";"LU"
9009059;2014;13;"01";"MK"
11731468;2013;25;"01";"IS"
11290434;2013;40;"01";"HR"
8715664;2014;30;"03  01";"CZ"
82200582;0;0;"01  00";"SE"
4447286;2006;32;"01  00";"HU"
9009059;2014;13;"01";"GB"
9785200;2013;25;"01";"HR"
8715664;2014;30;"02  01";"IT"
11703242;2013;25;"01";"EE"
11804640;2015;24;"01  01";"SI"
11719360;2013;25;"01";"PT"
5796256;2010;45;"01  01";"GR"
9737113;2013;25;"01";"LT"
5000275;2008;34;"01";"LU"
10742603;2013;29;"01";"LV"
11731468;2013;25;"01";"CH"
5766122;2010;52;"02";"SI"
9725403;2013;25;"01";"PL"
7705633;2008;34;"01";"SI"
6841815;2009;8;"01  01";"SE"
90303340;0;0;"01  00";"FR"
9737113;2013;25;"01";"HU"
5000115;2008;34;"01";"PT"
10742603;2014;9;"01  01";"SI"
8776077;2013;25;"01";"MC"
10788117;2013;25;"01";"BG"
5000115;2008;34;"01";"SK"
4447286;2006;32;"01  00";"CZ"
11710901;2013;17;"01  01";"NO"
11710901;2013;17;"01  01";"CH"
8715664;2014;30;"02  01";"HU"
9785200;2013;25;"01";"GR"
11290434;2013;40;"01";"TR"
11703242;2013;25;"01";"MT"
9009059;2014;13;"01";"CZ"
3405133;2005;3;"01";"FI"
8715664;2014;30;"02  01";"IS"
9290794;2013;40;"01";"DK"
5796256;2010;45;"01  01";"EE"
11804640;2015;24;"01  01";"MC"
15794271;2018;21;"01  00";"FI"
9290794;2013;40;"01";"BE"
90303340;0;0;"01  00";"SE"
11767374;2015;24;"01  01";"DK"
4793855;2009;33;"01";"MC"
9009058;2014;13;"01";"IT"
11767374;2015;24;"01  01";"HR"
9737113;2013;25;"01";"IS"
9009059;2014;13;"01";"CH"
5000275;2008;34;"01";"NL"
6076187;2009;36;"01";"CZ"
9009059;2014;13;"01";"HU"
9009058;2014;13;"01";"CH"
9009058;2014;13;"01";"NO"
11290434;2013;40;"01";"AT"
6076187;2009;36;"01";"HU"
9725403;2013;25;"01";"CY"
8715664;2011;23;"01  01";"ES"
8715664;2014;30;"02  01";"CH"
11731468;2013;25;"01";"MK"
5766122;2010;42;"01";"FI"
10742603;2014;9;"01  01";"AT"
8707361;2011;23;"01  01";"GR"
8707361;2011;23;"01  01";"DK"
5766122;2010;52;"01";"DE"
6755831;2008;34;"01";"LT"
10788117;2013;25;"01";"DE"
10788117;2013;25;"01";"PL"
8701733;2012;6;"01";"BE"
9009058;2014;13;"01";"NL"
4793855;2009;33;"01";"IT"
5766122;2010;52;"01";"CZ"
9009058;2014;13;"01";"MT"
8715664;2014;30;"01  01";"AT"
10788117;2013;25;"01";"SM"
11767374;2015;24;"01  01";"LT"
10742603;2014;9;"01  01";"GR"
5766122;2010;52;"02";"AT"
14837373;2018;17;"01";"CZ"
11710901;2013;17;"01  01";"EE"
6755831;2008;34;"01";"DE"
4727187;2008;2;"01  00";"RO"
4727186;2008;2;"01  00";"GB"
6841815;2009;8;"01  01";"LV"
9009058;2014;13;"01";"EE"
3405133;2005;3;"01";"GR"
8715664;2011;23;"01  01";"CH"
6755831;2008;34;"01";"ES"
9290794;2013;40;"01";"SI"
13892077;2016;17;"01";"CH"
15794271;2018;21;"01  00";"GB"
8701733;2012;6;"01";"LT"
6841815;2009;8;"01  01";"CY"
5000275;2008;34;"01";"HU"
4727187;2008;2;"01  00";"PL"
8715664;2014;30;"03  01";"HU"
6841815;2009;8;"01  01";"DE"
4727188;2008;2;"01  00";"EE"
11703242;2013;25;"01";"IT"
11804640;2015;24;"01  01";"ES"
10742603;2013;29;"01";"IS"
8715664;2011;23;"01  01";"IE"
4727188;2008;2;"01  00";"CZ"
8715664;2014;30;"01  01";"TR"
11804640;2015;24;"01  01";"DK"
6755831;2008;34;"01";"MC"
9009058;2014;13;"01";"GB"
8701733;2012;6;"01";"DK"
4727187;2008;2;"01  00";"LU"
11719360;2013;25;"01";"RO"
10742603;2013;29;"01";"DE"
8715664;2011;23;"01  01";"CZ"
8707361;2011;23;"01  01";"FI"
11804640;2015;24;"01  01";"IS"
8776077;2013;25;"01";"IS"
7705633;2008;34;"01";"LT"
9725403;2013;25;"01";"FI"
4793855;2009;33;"01";"IE"
11710901;2013;17;"01  01";"IS"
6076187;2009;36;"01";"FI"
11731468;2013;25;"01";"DE"
5773954;2008;34;"01";"NL"
4447286;2006;32;"01  00";"CY"
8715664;2011;23;"01  01";"MC"
8776077;2013;25;"01";"IE"
11804640;2015;24;"01  01";"RS"
13892077;2016;17;"01";"CZ"
4727187;2008;2;"01  00";"DE"
82200582;0;0;"01  00";"CH"
14837373;2018;17;"01";"MC"
8776077;2013;25;"01";"EE"
8715664;2014;30;"03  01";"CY"
5766122;2010;52;"02";"IS"
5766122;2010;52;"01";"LV"
8701733;2012;6;"01";"GB"
6755831;2008;34;"01";"IE"
11703242;2013;25;"01";"GB"
6841815;2009;8;"01  01";"BG"
4727186;2008;2;"01  00";"EE"
90303340;0;0;"01  00";"DE"
9735221;2013;25;"01";"BE"
11731468;2013;25;"01";"EE"
14837373;2018;17;"01";"IT"
5796256;2010;45;"01  01";"CH"
9009059;2014;13;"01";"NO"
9009059;2014;13;"01";"IS"
14837373;2018;17;"01";"LT"
4727186;2008;2;"01  00";"CZ"
9290794;2013;40;"01";"CY"
11719360;2013;25;"01";"NL"
11710901;2013;17;"01  01";"FI"
8715664;2014;30;"01  01";"LT"
